match_id,match_date,team_name,team_type,opponent_name,passing_possession_%,passing_total_passes,passing_completed_passes,passing_passing_accuracy,passing_progressive_passes,passing_final_third_passes,passing_penalty_area_passes,passing_crosses_attempted,passing_crosses_completed,passing_cross_success_rate,attacking_total_shots,attacking_shots_on_target,attacking_shots_blocked,attacking_shots_off_target,attacking_xg,attacking_avg_xg_per_shot,attacking_key_passes,defensive_pressures,defensive_high_pressures,defensive_tackles,defensive_interceptions,defensive_ball_recoveries,defensive_blocks,defensive_clearances,defensive_xga,defensive_pressing_success,defensive_aerial_duels_won,defensive_fouls_committed,defensive_yellow_cards,defensive_red_cards,goalkeeper_saves,goalkeeper_shots_faced,goalkeeper_goals_conceded,goalkeeper_clean_sheets,goalkeeper_goals_prevented,goalkeeper_post_shot_xg_conceded,goalkeeper_psxg_plus_minus,goalkeeper_sweeper_actions,transition_counter_attacks,transition_counter_attack_shots,transition_turnovers_to_shots,transition_avg_attack_speed,transition_press_to_attack_conversion,efficiency_goals_scored,efficiency_goals_conceded,efficiency_conversion_rate,efficiency_xg_vs_goals_diff,efficiency_xga_vs_conceded_diff
3857283,27/11/2022,Belgium,home_team,Morocco,66.2,703,604,85.9,164,113,29,8,1,12.5,8,3,2,3,0.57,0.071,8,107,23,0,2,41,3,6,0.99,15,33,10,0,0,2,4,2,0,-1.19,0.81,-1.19,0,0,0,0,0,1.7,0,2,0,-0.57,1.01
3857283,27/11/2022,Morocco,away_team,Belgium,33.8,347,287,82.7,82,56,11,9,4,44.4,10,4,0,6,0.99,0.099,8,161,35,0,8,35,26,22,0.57,13.7,35,16,0,0,3,3,0,1,0.25,0.25,0.25,0,0,0,0,0,0,2,0,20,1.01,-0.57
3857284,23/11/2022,Germany,home_team,Japan,74.7,826,723,87.5,192,239,60,19,7,36.8,18,4,4,8,1.92,0.107,19,86,46,0,3,56,23,8,0.4,24.4,29,7,0,0,0,1,1,0,-0.97,0.03,-0.97,0,2,1,1,0,3.5,1,1,5.6,-0.92,0.6
3857284,23/11/2022,Japan,away_team,Germany,25.3,294,215,73.1,72,56,16,5,3,60,8,1,4,3,0.4,0.05,8,184,38,0,8,28,30,41,1.92,5.4,48,15,0,0,3,4,1,0,-0.09,0.91,-0.09,1,2,1,1,0,0,1,1,12.5,0.6,-0.92
3857282,21/11/2022,United States,home_team,Wales,58.1,610,520,85.2,143,141,35,18,3,16.7,6,1,1,3,0.6,0.1,4,137,45,0,13,45,21,24,1.4,15.3,32,17,0,0,2,3,1,0,0.01,1.01,0.01,0,1,1,1,0,4.2,1,1,16.7,0.4,-0.4
3857282,21/11/2022,Wales,away_team,United States,41.9,443,339,76.5,107,75,26,11,4,36.4,7,3,1,3,1.4,0.199,5,128,19,0,10,53,23,29,0.6,16.4,40,10,0,0,0,1,1,0,-0.8,0.2,-0.8,0,1,0,0,0,1.3,1,1,14.3,-0.4,0.4
3857286,20/11/2022,Qatar,home_team,Ecuador,47.2,468,382,81.6,93,53,9,4,3,75,5,0,0,5,0.3,0.061,5,99,15,0,5,33,11,21,1.15,12.1,24,17,0,0,1,3,2,0,-1.05,0.95,-1.05,1,3,0,0,0,0,0,2,0,-0.3,0.85
3857286,20/11/2022,Ecuador,away_team,Qatar,52.8,519,432,83.2,101,86,26,7,3,42.9,6,3,0,3,1.15,0.192,3,134,39,0,8,34,21,4,0.3,8.2,33,14,0,0,0,0,0,1,0,0,0,0,1,1,1,0,2.7,2,0,33.3,0.85,-0.3
3857301,25/11/2022,Qatar,home_team,Senegal,43.7,452,362,80.1,112,66,30,13,7,53.8,10,3,3,4,0.96,0.096,7,149,33,0,10,41,16,24,0.9,12.8,34,11,0,0,1,4,3,0,-2.58,0.42,-2.58,0,2,0,0,0,2.6,1,3,10,0.04,2.1
3857301,25/11/2022,Senegal,away_team,Qatar,56.3,547,462,84.5,134,151,30,12,2,16.7,12,4,2,5,0.9,0.075,7,137,45,0,6,50,14,19,0.96,17.5,23,13,0,0,2,3,1,0,-0.39,0.61,-0.39,0,3,0,0,0,1.2,3,1,25,2.1,0.04
3857300,22/11/2022,Argentina,home_team,Saudi Arabia,68.3,646,542,83.9,130,130,46,20,7,35,11,5,1,4,1.39,0.126,10,107,21,0,11,44,19,18,0.08,14,23,7,0,0,0,1,1,0,-0.92,0.08,-0.92,0,0,0,0,0,1.7,1,1,9.1,-0.39,0.92
3857300,22/11/2022,Saudi Arabia,away_team,Argentina,31.7,286,197,68.9,52,75,28,5,1,20,1,1,0,0,0.08,0.081,0,141,24,0,21,49,13,29,1.39,12.1,38,22,4,0,4,5,1,0,0.14,1.14,0.14,0,1,0,0,0,1.5,1,1,100,0.92,-0.39
3857299,28/11/2022,South Korea,home_team,Ghana,63.9,605,499,82.5,149,212,64,28,13,46.4,12,5,3,3,0.81,0.067,12,126,35,0,5,59,15,17,0.92,19,35,15,0,0,0,2,2,0,-1.4,0.6,-1.4,0,0,0,0,0,1.7,2,2,16.7,1.19,1.08
3857299,28/11/2022,Ghana,away_team,South Korea,36.1,340,266,78.2,64,83,16,9,3,33.3,5,2,0,3,0.92,0.184,2,126,12,0,9,42,30,56,0.81,11.1,45,10,0,0,3,5,2,0,-1.48,0.52,-1.48,0,0,0,0,0,0,2,2,40,1.08,1.19
3857298,24/11/2022,Portugal,home_team,Ghana,59.9,665,576,86.6,156,170,40,13,3,23.1,11,5,3,3,2.1,0.191,6,110,46,0,3,39,12,18,0.78,8.2,31,15,0,0,1,3,2,0,-1.34,0.66,-1.34,1,1,0,0,0,1.5,3,2,27.3,0.9,1.22
3857298,24/11/2022,Ghana,away_team,Portugal,40.1,415,336,81,86,48,11,7,1,14.3,9,3,1,5,0.78,0.087,6,140,22,0,12,46,16,13,2.1,7.1,47,20,1,0,2,5,3,0,-1.34,1.66,-1.34,0,1,0,0,0,2.9,2,3,22.2,1.22,0.9
3857297,26/11/2022,Poland,home_team,Saudi Arabia,36.6,337,259,76.9,77,84,29,11,7,63.6,9,3,2,1,1.73,0.193,6,103,22,0,12,32,17,29,0.58,10.7,31,18,0,0,2,2,0,1,0.08,0.08,0.08,0,0,0,0,0,4.9,2,0,22.2,0.27,-0.58
3857297,26/11/2022,Saudi Arabia,away_team,Poland,63.4,582,489,84,133,200,48,14,4,28.6,11,2,2,6,0.58,0.053,10,123,33,0,5,52,17,17,1.73,16.3,38,16,1,0,1,3,2,0,-0.87,1.13,-0.87,0,0,0,0,0,1.4,0,2,0,-0.58,0.27
3857296,01/12/2022,Croatia,home_team,Belgium,49.6,609,514,84.4,147,174,64,22,8,36.4,3,1,0,2,0.13,0.043,9,164,44,0,12,49,15,26,1.55,9.8,22,11,0,0,3,3,0,1,0.7,0.7,0.7,0,0,0,0,0,0,0,0,0,-0.13,-1.55
